sub_region_2,variable,value
City of Victor Harbor,retail_and_recreation_percent_change_from_baseline,
City of West Torrens,retail_and_recreation_percent_change_from_baseline,6.0
District Council of Loxton Waikerie,retail_and_recreation_percent_change_from_baseline,
District Council of Mallala,retail_and_recreation_percent_change_from_baseline,
District Council of Mount Barker,retail_and_recreation_percent_change_from_baseline,13.0
District Council of the Copper Coast,retail_and_recreation_percent_change_from_baseline,
Light Regional Council,retail_and_recreation_percent_change_from_baseline,
Port Augusta City Council,retail_and_recreation_percent_change_from_baseline,
Port Pirie Regional Council,retail_and_recreation_percent_change_from_baseline,
Renmark Paringa Council,retail_and_recreation_percent_change_from_baseline,
The Barossa Council,retail_and_recreation_percent_change_from_baseline,-16.0
The Berri Barmera Council,retail_and_recreation_percent_change_from_baseline,
The City of Norwood Payneham and St Peters,retail_and_recreation_percent_change_from_baseline,-10.0
The Corporation of the City of Whyalla,retail_and_recreation_percent_change_from_baseline,
The Rural City of Murray Bridge,retail_and_recreation_percent_change_from_baseline,-5.0
Town of Gawler,retail_and_recreation_percent_change_from_baseline,8.0
Break O'Day Council,retail_and_recreation_percent_change_from_baseline,
Brighton Council,retail_and_recreation_percent_change_from_baseline,
Burnie City Council,retail_and_recreation_percent_change_from_baseline,1.0
Central Coast Council,retail_and_recreation_percent_change_from_baseline,
Clarence City Council,retail_and_recreation_percent_change_from_baseline,-4.0
Derwent Valley Council,retail_and_recreation_percent_change_from_baseline,
Devonport City Council,retail_and_recreation_percent_change_from_baseline,-12.0
Glamorgan-Spring Bay Council,retail_and_recreation_percent_change_from_baseline,
Glenorchy City Council,retail_and_recreation_percent_change_from_baseline,-5.0
Hobart City Council,retail_and_recreation_percent_change_from_baseline,-10.0
Huon Valley Council,retail_and_recreation_percent_change_from_baseline,
Kingborough Council,retail_and_recreation_percent_change_from_baseline,-3.0
Latrobe Council,retail_and_recreation_percent_change_from_baseline,
Launceston City Council,retail_and_recreation_percent_change_from_baseline,-6.0
Meander Valley Council,retail_and_recreation_percent_change_from_baseline,-1.0
Northern Midlands Council,retail_and_recreation_percent_change_from_baseline,
Sorell Council,retail_and_recreation_percent_change_from_baseline,
Waratah-Wynyard Council,retail_and_recreation_percent_change_from_baseline,
West Tamar Council,retail_and_recreation_percent_change_from_baseline,
Alpine Shire,retail_and_recreation_percent_change_from_baseline,
Ballarat City,retail_and_recreation_percent_change_from_baseline,-5.0
Banyule City,retail_and_recreation_percent_change_from_baseline,-10.0
Bass Coast Shire,retail_and_recreation_percent_change_from_baseline,-30.0
Baw Baw Shire,retail_and_recreation_percent_change_from_baseline,11.0
Bayside City,retail_and_recreation_percent_change_from_baseline,2.0
Benalla Rural City,retail_and_recreation_percent_change_from_baseline,
Boroondara City,retail_and_recreation_percent_change_from_baseline,-17.0
Brimbank City,retail_and_recreation_percent_change_from_baseline,-9.0
Campaspe Shire,retail_and_recreation_percent_change_from_baseline,-2.0
Cardinia Shire,retail_and_recreation_percent_change_from_baseline,-6.0
Central Goldfields Shire,retail_and_recreation_percent_change_from_baseline,
City of Casey,retail_and_recreation_percent_change_from_baseline,-6.0
City of Hume,retail_and_recreation_percent_change_from_baseline,-5.0
City of Knox,retail_and_recreation_percent_change_from_baseline,-21.0
City of Maribyrnong,retail_and_recreation_percent_change_from_baseline,-20.0
City of Wyndham,retail_and_recreation_percent_change_from_baseline,-6.0
City of Yarra,retail_and_recreation_percent_change_from_baseline,-17.0
Colac Otway Shire,retail_and_recreation_percent_change_from_baseline,-31.0
Corangamite Shire,retail_and_recreation_percent_change_from_baseline,
Darebin City,retail_and_recreation_percent_change_from_baseline,-13.0
East Gippsland Shire,retail_and_recreation_percent_change_from_baseline,-14.0
Frankston City,retail_and_recreation_percent_change_from_baseline,-11.0
Glen Eira City,retail_and_recreation_percent_change_from_baseline,-7.0
Glenelg Shire,retail_and_recreation_percent_change_from_baseline,-9.0
Golden Plains Shire,retail_and_recreation_percent_change_from_baseline,
Greater Bendigo City,retail_and_recreation_percent_change_from_baseline,1.0
Greater Dandenong City,retail_and_recreation_percent_change_from_baseline,-11.0
Greater Geelong City,retail_and_recreation_percent_change_from_baseline,-17.0
Greater Shepparton City,retail_and_recreation_percent_change_from_baseline,-6.0
Hepburn Shire,retail_and_recreation_percent_change_from_baseline,
Hobsons Bay City,retail_and_recreation_percent_change_from_baseline,-9.0
Horsham Rural City,retail_and_recreation_percent_change_from_baseline,
Indigo Shire,retail_and_recreation_percent_change_from_baseline,
Kingston City,retail_and_recreation_percent_change_from_baseline,-15.0
Latrobe City,retail_and_recreation_percent_change_from_baseline,-9.0
Macedon Ranges Shire,retail_and_recreation_percent_change_from_baseline,16.0
Manningham City,retail_and_recreation_percent_change_from_baseline,-12.0
Maroondah City,retail_and_recreation_percent_change_from_baseline,-15.0
Melbourne City,retail_and_recreation_percent_change_from_baseline,-37.0
Melton City,retail_and_recreation_percent_change_from_baseline,-3.0
Mildura Rural City,retail_and_recreation_percent_change_from_baseline,-10.0
Mitchell Shire,retail_and_recreation_percent_change_from_baseline,-7.0
Moira Shire,retail_and_recreation_percent_change_from_baseline,
Monash City,retail_and_recreation_percent_change_from_baseline,-9.0
Moonee Valley City,retail_and_recreation_percent_change_from_baseline,-2.0
Moorabool Shire,retail_and_recreation_percent_change_from_baseline,2.0
Moreland City,retail_and_recreation_percent_change_from_baseline,-11.0
Mount Alexander Shire,retail_and_recreation_percent_change_from_baseline,
Moyne Shire,retail_and_recreation_percent_change_from_baseline,
Murrindindi Shire,retail_and_recreation_percent_change_from_baseline,
Nillumbik Shire,retail_and_recreation_percent_change_from_baseline,-13.0
Northern Grampians Shire,retail_and_recreation_percent_change_from_baseline,
Port Phillip City,retail_and_recreation_percent_change_from_baseline,-35.0
Shire of Mornington Peninsula,retail_and_recreation_percent_change_from_baseline,-20.0
South Gippsland Shire,retail_and_recreation_percent_change_from_baseline,-11.0
Southern Grampians Shire,retail_and_recreation_percent_change_from_baseline,
Stonnington City,retail_and_recreation_percent_change_from_baseline,-20.0
Surf Coast Shire,retail_and_recreation_percent_change_from_baseline,-30.0
Swan Hill Rural City,retail_and_recreation_percent_change_from_baseline,
Wangaratta Rural City,retail_and_recreation_percent_change_from_baseline,-5.0
Warrnambool City,retail_and_recreation_percent_change_from_baseline,-22.0
Wellington Shire,retail_and_recreation_percent_change_from_baseline,1.0
Whitehorse City,retail_and_recreation_percent_change_from_baseline,-19.0
Whittlesea City,retail_and_recreation_percent_change_from_baseline,-6.0
Wodonga City,retail_and_recreation_percent_change_from_baseline,-6.0
Yarra Ranges Shire,retail_and_recreation_percent_change_from_baseline,-14.0
City of Albany,retail_and_recreation_percent_change_from_baseline,-4.0
City of Armadale,retail_and_recreation_percent_change_from_baseline,-3.0
City of Bayswater,retail_and_recreation_percent_change_from_baseline,-9.0
City of Belmont,retail_and_recreation_percent_change_from_baseline,8.0
City of Bunbury,retail_and_recreation_percent_change_from_baseline,1.0
City of Busselton,retail_and_recreation_percent_change_from_baseline,-20.0
City of Canning,retail_and_recreation_percent_change_from_baseline,-10.0
City of Cockburn,retail_and_recreation_percent_change_from_baseline,-8.0
City of Fremantle,retail_and_recreation_percent_change_from_baseline,-15.0
City of Gosnells,retail_and_recreation_percent_change_from_baseline,14.0
City of Greater Geraldton,retail_and_recreation_percent_change_from_baseline,6.0
City of Joondalup,retail_and_recreation_percent_change_from_baseline,-13.0
City of Kalamunda,retail_and_recreation_percent_change_from_baseline,4.0
City of Kalgoorlie-Boulder,retail_and_recreation_percent_change_from_baseline,9.0
City of Karratha,retail_and_recreation_percent_change_from_baseline,5.0
City of Kwinana,retail_and_recreation_percent_change_from_baseline,7.0
City of Mandurah,retail_and_recreation_percent_change_from_baseline,2.0
City of Melville,retail_and_recreation_percent_change_from_baseline,-11.0
City of Nedlands,retail_and_recreation_percent_change_from_baseline,-16.0
City of Perth,retail_and_recreation_percent_change_from_baseline,-54.0
City of Rockingham,retail_and_recreation_percent_change_from_baseline,-6.0
City of South Perth,retail_and_recreation_percent_change_from_baseline,-21.0
City of Stirling,retail_and_recreation_percent_change_from_baseline,-5.0
City of Subiaco,retail_and_recreation_percent_change_from_baseline,-16.0
City of Swan,retail_and_recreation_percent_change_from_baseline,0.0
City of Vincent,retail_and_recreation_percent_change_from_baseline,-24.0
City of Wanneroo,retail_and_recreation_percent_change_from_baseline,10.0
Shire of Ashburton,retail_and_recreation_percent_change_from_baseline,
Shire of Augusta-Margaret River,retail_and_recreation_percent_change_from_baseline,
Shire of Broome,retail_and_recreation_percent_change_from_baseline,
Shire of Capel,retail_and_recreation_percent_change_from_baseline,
Shire of Dardanup,retail_and_recreation_percent_change_from_baseline,-8.0
Shire of East Pilbara,retail_and_recreation_percent_change_from_baseline,
Shire of Esperance,retail_and_recreation_percent_change_from_baseline,-7.0
Shire of Harvey,retail_and_recreation_percent_change_from_baseline,6.0
Shire of Mundaring,retail_and_recreation_percent_change_from_baseline,15.0
Shire of Murray,retail_and_recreation_percent_change_from_baseline,
Shire of Northam,retail_and_recreation_percent_change_from_baseline,
Shire of Serpentine-Jarrahdale,retail_and_recreation_percent_change_from_baseline,
Town of Bassendean,retail_and_recreation_percent_change_from_baseline,
Town of Cambridge,retail_and_recreation_percent_change_from_baseline,-7.0
Town of Claremont,retail_and_recreation_percent_change_from_baseline,-11.0
Town of Cottesloe,retail_and_recreation_percent_change_from_baseline,
Town of Port Hedland,retail_and_recreation_percent_change_from_baseline,
Town of Victoria Park,retail_and_recreation_percent_change_from_baseline,-11.0
Armidale Dumaresq Council,grocery_and_pharmacy_percent_change_from_baseline,
Ballina Shire Council,grocery_and_pharmacy_percent_change_from_baseline,22.0
Bankstown City Council,grocery_and_pharmacy_percent_change_from_baseline,15.0
Bathurst Regional Council,grocery_and_pharmacy_percent_change_from_baseline,13.0
Bayside Council,grocery_and_pharmacy_percent_change_from_baseline,7.0
Bega Valley Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Bellingen Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Blue Mountains City Council,grocery_and_pharmacy_percent_change_from_baseline,-9.0
Broken Hill City Council,grocery_and_pharmacy_percent_change_from_baseline,
Burwood Council,grocery_and_pharmacy_percent_change_from_baseline,40.0
Byron Shire Council,grocery_and_pharmacy_percent_change_from_baseline,-37.0
Cabonne Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Camden Council,grocery_and_pharmacy_percent_change_from_baseline,40.0
Campbelltown City Council,grocery_and_pharmacy_percent_change_from_baseline,4.0
Canterbury City Council,grocery_and_pharmacy_percent_change_from_baseline,17.0
Cessnock City Council,grocery_and_pharmacy_percent_change_from_baseline,11.0
City of Albury,grocery_and_pharmacy_percent_change_from_baseline,3.0
City of Blacktown,grocery_and_pharmacy_percent_change_from_baseline,24.0
City of Canada Bay Council,grocery_and_pharmacy_percent_change_from_baseline,3.0
City of Lake Macquarie,grocery_and_pharmacy_percent_change_from_baseline,14.0
City of Liverpool,grocery_and_pharmacy_percent_change_from_baseline,27.0
City of Parramatta Council,grocery_and_pharmacy_percent_change_from_baseline,-8.0
City of Ryde,grocery_and_pharmacy_percent_change_from_baseline,-3.0
City of Shoalhaven,grocery_and_pharmacy_percent_change_from_baseline,-1.0
City of Willoughby,grocery_and_pharmacy_percent_change_from_baseline,6.0
Clarence Valley Council,grocery_and_pharmacy_percent_change_from_baseline,13.0
Coffs Harbour City Council,grocery_and_pharmacy_percent_change_from_baseline,-22.0
Cooma-Monaro Council,grocery_and_pharmacy_percent_change_from_baseline,
Corowa Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Council of the City of Sydney,grocery_and_pharmacy_percent_change_from_baseline,-26.0
Cowra Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Cumberland Council,grocery_and_pharmacy_percent_change_from_baseline,-5.0
Dubbo City Council,grocery_and_pharmacy_percent_change_from_baseline,11.0
Eurobodalla Shire Council,grocery_and_pharmacy_percent_change_from_baseline,4.0
Fairfield City Council,grocery_and_pharmacy_percent_change_from_baseline,24.0
Goulburn Mulwaree Council,grocery_and_pharmacy_percent_change_from_baseline,-7.0
Griffith City Council,grocery_and_pharmacy_percent_change_from_baseline,3.0
Gunnedah Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Hawkesbury City Council,grocery_and_pharmacy_percent_change_from_baseline,-5.0
Hurstville City Council,grocery_and_pharmacy_percent_change_from_baseline,15.0
Inner West Council,grocery_and_pharmacy_percent_change_from_baseline,-8.0
Inverell Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Kempsey Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Kogarah City Council,grocery_and_pharmacy_percent_change_from_baseline,
Ku-ring-gai Council,grocery_and_pharmacy_percent_change_from_baseline,16.0
Lane Cove Municipal Council,grocery_and_pharmacy_percent_change_from_baseline,14.0
Leeton Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Lismore City Council,grocery_and_pharmacy_percent_change_from_baseline,23.0
Lithgow City Council,grocery_and_pharmacy_percent_change_from_baseline,
Maitland City Council,grocery_and_pharmacy_percent_change_from_baseline,19.0
Mid-Western Regional Council,grocery_and_pharmacy_percent_change_from_baseline,
MidCoast Council,grocery_and_pharmacy_percent_change_from_baseline,-6.0
Mosman Municipal Council,grocery_and_pharmacy_percent_change_from_baseline,
Muswellbrook Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Nambucca Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Newcastle City Council,grocery_and_pharmacy_percent_change_from_baseline,7.0
North Sydney Council,grocery_and_pharmacy_percent_change_from_baseline,-15.0
Northern Beaches Council,grocery_and_pharmacy_percent_change_from_baseline,8.0
Orange City Council,grocery_and_pharmacy_percent_change_from_baseline,2.0
Palerang Council,grocery_and_pharmacy_percent_change_from_baseline,
Parkes Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Penrith City Council,grocery_and_pharmacy_percent_change_from_baseline,19.0
Port Macquarie-Hastings Council,grocery_and_pharmacy_percent_change_from_baseline,1.0
Port Stephens Council,grocery_and_pharmacy_percent_change_from_baseline,-8.0
Queanbeyan City Council,grocery_and_pharmacy_percent_change_from_baseline,-2.0
Randwick City Council,grocery_and_pharmacy_percent_change_from_baseline,-3.0
Richmond Valley Council,grocery_and_pharmacy_percent_change_from_baseline,
Shellharbour City Council,grocery_and_pharmacy_percent_change_from_baseline,-1.0
Singleton Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Strathfield Municipal Council,grocery_and_pharmacy_percent_change_from_baseline,13.0
Sutherland Shire,grocery_and_pharmacy_percent_change_from_baseline,9.0
Tamworth Regional Council,grocery_and_pharmacy_percent_change_from_baseline,19.0
The Council of the Municipality of Hunters Hill,grocery_and_pharmacy_percent_change_from_baseline,
The Council of the Municipality of Kiama,grocery_and_pharmacy_percent_change_from_baseline,
The Council of the Shire of Hornsby,grocery_and_pharmacy_percent_change_from_baseline,-3.0
The Hills Shire,grocery_and_pharmacy_percent_change_from_baseline,3.0
Tumut Council,grocery_and_pharmacy_percent_change_from_baseline,
Tweed Shire Council,grocery_and_pharmacy_percent_change_from_baseline,3.0
Wagga Wagga City Council,grocery_and_pharmacy_percent_change_from_baseline,13.0
Waverley Council,grocery_and_pharmacy_percent_change_from_baseline,-7.0
Wingecarribee Shire Council,grocery_and_pharmacy_percent_change_from_baseline,-14.0
Wollondilly Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Wollongong City Council,grocery_and_pharmacy_percent_change_from_baseline,-2.0
Woollahra Municipal Council,grocery_and_pharmacy_percent_change_from_baseline,2.0
Wyong Shire Council,grocery_and_pharmacy_percent_change_from_baseline,6.0
Yass Valley Council,grocery_and_pharmacy_percent_change_from_baseline,
Young Shire Council,grocery_and_pharmacy_percent_change_from_baseline,
Alice Springs Municipality,grocery_and_pharmacy_percent_change_from_baseline,
Darwin Municipality,grocery_and_pharmacy_percent_change_from_baseline,7.0
Katherine Municipality,grocery_and_pharmacy_percent_change_from_baseline,
Litchfield Municipality,grocery_and_pharmacy_percent_change_from_baseline,
Palmerston Municipality,grocery_and_pharmacy_percent_change_from_baseline,
Banana Shire,grocery_and_pharmacy_percent_change_from_baseline,
Brisbane City,grocery_and_pharmacy_percent_change_from_baseline,2.0
Bundaberg Regional,grocery_and_pharmacy_percent_change_from_baseline,8.0
Burdekin Shire,grocery_and_pharmacy_percent_change_from_baseline,
Cairns Regional,grocery_and_pharmacy_percent_change_from_baseline,21.0
Cassowary Coast Regional,grocery_and_pharmacy_percent_change_from_baseline,0.0
Central Highlands Regional,grocery_and_pharmacy_percent_change_from_baseline,
City of Gold Coast,grocery_and_pharmacy_percent_change_from_baseline,4.0
City of Ipswich,grocery_and_pharmacy_percent_change_from_baseline,7.0
Douglas Shire,grocery_and_pharmacy_percent_change_from_baseline,
Fraser Coast Regional,grocery_and_pharmacy_percent_change_from_baseline,-1.0
Gladstone Regional,grocery_and_pharmacy_percent_change_from_baseline,8.0
Gympie Regional,grocery_and_pharmacy_percent_change_from_baseline,31.0
Isaac Regional,grocery_and_pharmacy_percent_change_from_baseline,
Livingstone Shire,grocery_and_pharmacy_percent_change_from_baseline,
Lockyer Valley Regional,grocery_and_pharmacy_percent_change_from_baseline,0.0
Logan City,grocery_and_pharmacy_percent_change_from_baseline,10.0
Mackay Regional,grocery_and_pharmacy_percent_change_from_baseline,21.0
Maranoa Regional,grocery_and_pharmacy_percent_change_from_baseline,
Mareeba Shire,grocery_and_pharmacy_percent_change_from_baseline,
Moreton Bay Region,grocery_and_pharmacy_percent_change_from_baseline,19.0
Mount Isa City,grocery_and_pharmacy_percent_change_from_baseline,
Noosa Shire,grocery_and_pharmacy_percent_change_from_baseline,-17.0
Redland City,grocery_and_pharmacy_percent_change_from_baseline,14.0
Rockhampton Regional,grocery_and_pharmacy_percent_change_from_baseline,-5.0
Scenic Rim Regional,grocery_and_pharmacy_percent_change_from_baseline,
Somerset Regional,grocery_and_pharmacy_percent_change_from_baseline,
South Burnett Regional,grocery_and_pharmacy_percent_change_from_baseline,
Southern Downs Regional,grocery_and_pharmacy_percent_change_from_baseline,-12.0
